kept,dropped,mechanism,title
W2016312766,312874712,"cross-source: OpenAlex vs CORE, no shared DOI",Migratory corridors and foraging hotspots: critical habitats identified for Me
W2316595866,310900409,"cross-source: OpenAlex vs CORE, no shared DOI",Shelf life: neritic habitat use of a turtle population highly threatened by fi
W4365151733,292045994,"cross-source: OpenAlex vs CORE, no shared DOI",Vulnerability of elasmobranchs caught as bycatch in the grouper longline fishe
W4242830021,W4206431590,"preprint/version-of-record pair, different DOIs",Shark Conservation – Analysis and Synthesis
W4399809350,W4399241889,"preprint/version-of-record pair, different DOIs",Preliminary Insights on the Habitat Use and Vertical Movements of the Pelagic 
W4402524969,W4401129331,"preprint/version-of-record pair, different DOIs",Ghost Gear in the Gulf of Gabès (Tunisia): An Urgent Need for a Conservation C
W4286380219,W4301525508,"same work deposited twice, different DOIs",D7.9 Review of species-specific collision risks for sea birds
W4309601661,W4323066251,"same work deposited twice, different DOIs",IPBES Sustainable Use of Wild Species Assessment - Chapter 4. The drivers of t
W4379795531,W4380050798,"same work deposited twice, different DOIs",The Red Sea Fisheries - Threats and Proposed Solutions
